"HOUSEID","PERSONID","TRIPID","SEQ_TRIPID","VEHCASEID","FRSTHM","PARK","HHMEMDRV","TDWKND","TRAVDAY","LOOP_TRIP","DWELTIME","PUBTRANS","TRIPPURP","WHYFROM","WHYTRP1S","TRVLCMIN","STRTTIME","ENDTIME","TRPHHVEH","VEHID","TRPTRANS","NUMONTRP","ONTD_P1","ONTD_P2","ONTD_P3","ONTD_P4","ONTD_P5","ONTD_P6","ONTD_P7","ONTD_P8","ONTD_P9","ONTD_P10","NONHHCNT","HHACCCNT","WHODROVE","DRVR_FLG","PSGR_FLG","WHODROVE_IMP","PARK2_PAMOUNT","PARK2_PAYTYPE","PARK2","WHYTO","WALK","TRPMILES","WTTRDFIN","WTTRDFIN5D","WTTRDFIN2D","TDCASEID","VMT_MILE","GASPRICE","WHYTRP90","NUMADLT","HOMEOWN","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CDIVMSAR","HHFAMINC","HH_RACE","HHSIZE","HHVEHCNT","LIF_CYC","MSACAT","MSASIZE","URBAN","URBANSIZE","URBRUR","TDAYDATE","WRKCOUNT","STRATUMID","R_AGE","R_SEX","WORKER","DRIVER","R_RACE","R_HISP","PROXY","EDUC","PRMACT","R_SEX_IMP","VEHTYPE"
"9000013002","01","01","01","900001300201","01","02","01","01","01","02",75,"02","03","01","50",15,"1435","1450","01","01","03",2,"01","02","02","01","-1","-1","-1","-1","-1","-1",0,"02","01","01","02","01",-1,"-1","-1","15","02",3.90242386575513,1437621.4142,0,1403199.98227807,"90000130020101",3.90242386575513,"355.1","10",2,"01","01","01","01","02",2,"11","11","01",4,2,"04","01","05","01","04","01","202202",1,"1021",39,"02","02","01","01","02","01","07","03","02","03"
"9000013002","01","02","02","900001300201","01","02","01","01","01","02",-9,"02","03","15","01",10,"1605","1615","01","01","03",2,"01","02","02","01","-1","-1","-1","-1","-1","-1",0,"02","01","01","02","01",-1,"-1","-1","01","01",3.90242386575513,1437621.4142,0,1403199.98227807,"90000130020102",3.90242386575513,"355.1","10",2,"01","01","01","01","02",2,"11","11","01",4,2,"04","01","05","01","04","01","202202",1,"1021",39,"02","02","01","01","02","01","07","03","02","03"
"9000013002","02","01","01","900001300202","01","-1","01","01","01","02",10,"02","02","01","80",30,"0700","0730","01","02","03",1,"02","01","02","02","-1","-1","-1","-1","-1","-1",0,"01","02","01","02","02",-1,"-1","-1","12","-1",17.0770665009323,1974472.819,0,2032809.96652824,"90000130020201",17.0770665009323,"355.1","10",2,"01","01","01","01","02",2,"11","11","01",4,2,"04","01","05","01","04","01","202202",1,"1021",42,"01","01","01","01","02","02","07","-1","01","03"
"9000013002","02","02","02","900001300202","01","-1","01","01","01","02",10,"02","05","12","80",10,"0740","0750","01","02","03",1,"02","01","02","02","-1","-1","-1","-1","-1","-1",0,"01","02","01","02","02",-1,"-1","-1","12","-9",4.74829086389061,1974472.819,0,2032809.96652824,"90000130020202",4.74829086389061,"355.1","10",2,"01","01","01","01","02",2,"11","11","01",4,2,"04","01","05","01","04","01","202202",1,"1021",42,"01","01","01","01","02","02","07","-1","01","03"
"9000013002","02","03","03","900001300202","01","-1","01","01","01","02",-9,"02","02","12","01",30,"0800","0830","01","02","03",1,"02","01","02","02","-1","-1","-1","-1","-1","-1",0,"01","02","01","02","02",-1,"-1","-1","01","-9",14.0988191423244,1974472.819,0,2032809.96652824,"90000130020203",14.0988191423244,"355.1","10",2,"01","01","01","01","02",2,"11","11","01",4,2,"04","01","05","01","04","01","202202",1,"1021",42,"01","01","01","01","02","02","07","-1","01","03"
"9000013002","04","01","01","900001300201","01","-1","01","01","01","02",75,"02","03","01","50",15,"1435","1450","01","01","03",2,"01","02","02","01","-1","-1","-1","-1","-1","-1",0,"02","01","02","01","01",-1,"-1","-1","15","02",3.90242386575513,2268149.6899,0,2846480.36708682,"90000130020401",-1,"355.1","10",2,"01","01","01","01","02",2,"11","11","01",4,2,"04","01","05","01","04","01","202202",1,"1021",5,"-7","-1","-1","01","02","02","-1","-1","01","03"
"9000013002","04","02","02","900001300201","01","-1","01","01","01","02",-9,"02","03","15","01",10,"1605","1615","01","01","03",2,"01","02","02","01","-1","-1","-1","-1","-1","-1",0,"02","01","02","01","01",-1,"-1","-1","01","01",3.90242386575513,2268149.6899,0,2846480.36708682,"90000130020402",-1,"355.1","10",2,"01","01","01","01","02",2,"11","11","01",4,2,"04","01","05","01","04","01","202202",1,"1021",5,"-7","-1","-1","01","02","02","-1","-1","01","03"
"9000013016","01","01","01","900001301601","01","02","01","02","04","02",260,"02","04","01","30",10,"0930","0940","01","01","01",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","02","02","01","02",-1,"-1","-1","11","01",0.911746426351771,1161948.5958,1086080.957624,0,"90000130160101",-1,"344.9","06",2,"03","02","01","01","02",2,"13","07","01",2,1,"02","03","03","01","02","01","202202",2,"1021",32,"02","01","01","01","02","01","06","-1","02","01"
"9000013016","01","02","02","900001301601","01","02","01","02","04","02",105,"02","05","11","40",15,"1400","1415","01","01","01",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","02","02","01","02",-1,"-1","-1","14","01",4.59850839030454,1161948.5958,1086080.957624,0,"90000130160102",-1,"344.9","04",2,"03","02","01","01","02",2,"13","07","01",2,1,"02","03","03","01","02","01","202202",2,"1021",32,"02","01","01","01","02","01","06","-1","02","01"
"9000013016","01","03","03","900001301601","01","02","01","02","04","02",-9,"02","04","14","01",30,"1600","1630","01","01","01",2,"01","01","-1","-1","-1","-1","-1","-1","-1","-1",0,"02","02","02","01","02",-1,"-1","-1","01","02",5.42324425108763,1161948.5958,1086080.957624,0,"90000130160103",-1,"344.9","06",2,"03","02","01","01","02",2,"13","07","01",2,1,"02","03","03","01","02","01","202202",2,"1021",32,"02","01","01","01","02","01","06","-1","02","01"
